map_id|author|name|difficulty|tags|notes
0|Eliope|Nawak 5|3.5||
1|Incendium|Inferno 2 Campfire Edition (Hookable Walls)|3.0||
2|Yourbro|Racing Map|0.5||
4|Eliope|Makina Slide|3.0||
5|zender|Spear|4.5||
6|Sylcium|Indigo Racing|3.0||
7|Eliope|Race King Rainbow (No Lava Edit by Unknown)|0.5||
8|Rayzu & Riblei|Ex'd III (Red Lava)|3.0||
9|Zil|Irì ash|3.5||
10|Eliope|K-Rot|3.0||Updated on 2026-01-14
11|Eliope|Nano Maps Fused (Edit by Riblei)|2.0||
12|Riblei|Celestial Dreams Jr.|1.0||Updated on 2025-10-26
13|oNoto|Racing 001 Normal (Semi Lava)|2.0||
14|Eliope|Blood of the Racers 1 Black Edition|5.0|botr botr1|
15|Eliope|The Way of the Racers (Winter)|1.0|twotr twor|Fixed on 2026-03-20
16|Mb12|Cave Race|1.0||Blocked 20+ holes on 2025-12-26
17|Chrysoprase|Brutalism|0.5||
18|Eliope|Volcano Race|3.5||
19|Eliope|Makina Red|3.0||Skating fixed on 2025-11-30
20|Sebas Tian|SAC - Volcano Escape|3.0||
21|Eliope|Makina Team (Lava Edit by Riblei)|3.0||
22|MASKSLAVE|MASKSLAVE 4|3.5||
23|Hong Yao|Hong's Racing Akina (Lava Edit by Riblei)|3.0||
24|Eliope|Port Racers + Makina Red + Speed (Fused by Riblei)|4.0||
25|Chrysoprase|Brutalism (Lava)|4.0||
27|Unknown|Stage 1|4.0||
28|Zil|Irì spid|3.0||Fixed on 2026-05-28
29|MASKSLAVE|EZ Racing|3.5||
30|Golden Lord|GHoR|5.5||Fixed on 2026-05-28
31|Loki|Racing 123 (Sigh Edit by Antigasp)|4.0||Fixed on 2026-01-24
32|Saif|Custom Map Racing 1|1.5||
33|cowcowtony|Isolated City Racing (Hard)|5.0||
34|cowcowtony|Highway|0.5||Fixed on 2025-11-27
35|Zil|reeeeeeeeeeeeeeeeeeeee|1.0||
36|Mb12|Original Lava Madness|3.5||
37|Eliope|District Racers|0.5||
38|zender|Spear (No Lava)|0.5||
39|cowcowtony|Future Trax 9|3.5||
40|Chrysoprase|Another Brick in the Wall|0.5||
41|Eliope|The Way of the Racers (Luxueux)|1.0|twotr twor|Fixed on 2026-03-20
42|Esli|Esli's Balltower|6.0||Fixed on 2026-05-05
43|Zil|puzzle|1.0||
44|oNoto|The End of Laly (Transparent Tube)|4.5||Fixed on 2026-02-21
46|Mb12|Tomb Escape 2|3.5||Fixed holes on 2026-02-01
47|zender|Uncompleted Racing Map|4.0||
48|LuigiKkjk|The Kong Map|3.0||
49|MASKSLAVE|MASKSLAVE 1|4.0||
50|Dany|The Nuke|2.0||
51|oNoto|RX001 (V1)|2.5||
52|Kari|PKR 1 (CP Added)|4.0||
53|Eliope|Nano + Makina Dro (Fused by Riblei)|4.0||
54|Loki|Unknown (6)|4.0||
55|Chrysoprase|Hall of Mirrors|3.0||
56|oNoto|LaLy Rises|4.5||
57|Gameboy8|Nyan Racing Map|4.0||Full version fixed on 2026-01-24
58|oNoto|LaLy Crystal the Blood|3.5||
60|oNoto|Happy Birthday XII|4.0||Fixed by Eliope
61|Eliope|Makina Ice Extended (CP Added by Fruity)|0.5||
62|cowcowtony|Speedy Long Jump|4.5||
63|Xynz|Unknown|1.0||
64|AbsoluteS|Pace|2.5||
65|Antigasp|Velocity Zones Demo Map|2.0||
66|Yuukihito|Unnamed (Speed)|1.0||
67|Eliope|Rayt Racing|3.5||
68|cowcowtony|Future Trax 10|3.5||Fixed on 2026-04-05
69|Eliope|Makina Honor (Grassy)|2.0|inactive|
70|Naito|Double Hooks|4.5||
71|Eliope & Riblei|Makina Royal (Lava)|3.5||
72|Rayzu|RBLR 2|4.0||
73|oNoto|LaLy Rainracer (Lava)|2.0||
74|Sebas Tian|SAC - Feng City Run (Lv4)|3.5||
75|Zil|Irì shaft|3.0||
76|oNoto|LaLy Volcano Long|3.5||
77|MASKSLAVE|M-Square Racing|3.0||
78|Eliope|BotR Special Training|5.5||
79|Riblei|House Surfing|3.0||
