/// Options
EditorVersion:1.0|Description:|HasWeather:0
/// CustomAssets

/// Objects
Scene,Geometry/Cuboid,630,0,1,1,1,0,KillCuboid,0,400,-2020,0,0,60.00424,5.161917,22.01,5.01,None,Characters,Default,Basic|0/0/0/130|Misc/None|1/1|0/0,;
Scene,General/EditorDaylight,2,0,1,1,0,0,Daylight,0,0,0,50.3,121.9,1.399998,1,1,1,None,Entities,Default,DefaultNoTint|255/255/255/255,Daylight|;
Scene,General/EditorHumanSpawnPointBlue,3,0,1,1,0,0,Human SpawnPoint (blue),0,430,-1978.893,0,0,0,1,1,1,None,Entities,Default,DefaultNoTint|255/255/255/255,Tag|Name:HumanSpawnPointBlue;
Scene,Geometry/Cylinder,4,0,1,1,1,0,KillCylinder,-100,400,0,270,0,0,0.04,200,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,5,0,1,1,1,0,KillCylinder,100,400,0,270,0,0,0.04,200,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,6,0,1,1,1,0,KillCylinder,-50,486.6025,0,270,0,0,0.04,200,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,7,0,1,1,1,0,KillCylinder,50,486.6025,0,270,0,0,0.04,200,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,8,0,1,1,1,0,KillCylinder,-50,313.3975,0,270,0,0,0.04,200,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,9,0,1,1,1,0,KillCylinder,50,313.3975,0,270,0,0,0.04,200,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,10,0,1,1,1,0,KillCylinder,-120,400,0,270,0,0,0.04,200,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,11,0,1,1,1,0,KillCylinder,120,400,0,270,0,0,0.04,200,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,12,0,1,1,1,0,KillCylinder,-60,503.923,0,270,0,0,0.04,200,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,13,0,1,1,1,0,KillCylinder,60,503.923,0,270,0,0,0.04,200,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,14,0,1,1,1,0,KillCylinder,-60,296.077,0,270,0,0,0.04,200,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,15,0,1,1,1,0,KillCylinder,60,296.077,0,270,0,0,0.04,200,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,16,0,1,1,1,0,KillCylinder,0,503.923,-2000,0,0,90,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,17,0,1,1,1,0,KillCylinder,0,296.077,-2000,0,0,90,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,18,0,1,1,1,0,KillCylinder,-90,451.9615,-2000,0,0,330.0052,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,19,0,1,1,1,0,KillCylinder,90,451.9615,-2000,0,0,29.99477,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,20,0,1,1,1,0,KillCylinder,-90,348.0385,-2000,0,0,29.99477,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,21,0,1,1,1,0,KillCylinder,90,348.0385,-2000,0,0,330.0052,0.04,6,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
Scene,Geometry/Cylinder,22,0,1,1,1,0,KillCylinder,0,486.6025,-2000,0,0,90,0.04,5,0.04,None,Characters,Default,CannonRegionMat|0/255/0/255|1/1,;
