/// Options
EditorVersion:1.0|Description:|HasWeather:0
/// CustomAssets

/// Objects
Scene,Geometry/Cuboid,1,0,1,1,1,0,Unnamed,-7.76,-32.03,5.333,0,0,0,134.286,6.407,134.286,Physical,Entities,Default,Basic|172/174/166/255|Nature/Grass1|50/50|0/0,;
Scene,General/EditorDaylight,2,0,1,1,0,0,Daylight,0,0,0,50.3,121.9,1.399998,1,1,1,None,Entities,Default,DefaultNoTint|255/255/255/255,Daylight|;
Scene,Geometry/Cuboid,3,0,1,1,1,0,Cuboid,-500.4196,333.149,147.7807,84.84091,72.49527,0.0008165466,4.41,46.06732,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/460.6732,;
Scene,Geometry/Cuboid,4,0,1,1,1,0,Cuboid,-502.6758,307.6298,148.2273,84.84091,72.49527,0.0008165466,4.41,46.06732,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/460.6732,;
Scene,Geometry/Cuboid,5,0,1,1,1,0,Cuboid,-490.0127,328.6359,-57.54626,85.32991,98.23704,0.0007549966,4.41,45.4014,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/454.014,;
Scene,Geometry/Cuboid,6,0,1,1,1,0,Cuboid,-492.2688,303.1167,-57.09969,85.32991,98.23704,0.0007549966,4.41,45.4014,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/454.014,;
Scene,Geometry/Cuboid,7,0,1,1,1,0,Cuboid,-94.32422,309.1402,299.6541,84.15695,165.4768,179.9999,4.41,41.95541,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/419.5541,;
Scene,Geometry/Cuboid,8,0,1,1,1,0,Cuboid,-96.58035,283.621,300.1007,84.15695,165.4768,179.9999,4.41,41.95541,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/419.5541,;
Scene,Geometry/Cuboid,9,0,1,1,1,0,Cuboid,288.6059,294.2403,-287.2999,88.74258,357.0982,-0.0002382695,4.41,41.52469,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/415.2469,;
Scene,Geometry/Cuboid,10,0,1,1,1,0,Cuboid,286.3498,268.7211,-286.8534,88.74258,357.0982,-0.0002382695,4.41,41.52469,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/415.2469,;
Scene,Geometry/Cuboid,11,0,1,1,1,0,Cuboid,-230.0133,322.3936,371.4984,77.06512,192.0095,180,4.41,26.5216,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/265.2159,;
Scene,Geometry/Cuboid,12,0,1,1,1,0,Cuboid,-232.2694,296.8744,371.9449,77.06512,192.0095,180,4.41,26.5216,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/265.2159,;
Scene,Geometry/Cuboid,13,0,1,1,1,0,Cuboid,60.15931,347.2534,183.9692,71.67742,358.6466,0.0001334165,4.41,16.61361,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/166.1361,;
Scene,Geometry/Cuboid,14,0,1,1,1,0,Cuboid,57.90318,321.7342,184.4158,71.67742,358.6466,0.0001334165,4.41,16.61361,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/166.1361,;
Scene,Geometry/Cuboid,15,0,1,1,1,0,Cuboid,265.906,329.3904,202.6482,69.93314,358.8174,-8.397988E-05,4.41,15.12109,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/151.2109,;
Scene,Geometry/Cuboid,16,0,1,1,1,0,Cuboid,263.6498,303.8712,203.0948,69.93314,358.8174,-8.397988E-05,4.41,15.12109,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/151.2109,;
Scene,Geometry/Cuboid,17,0,1,1,1,0,Cuboid,159.9126,364.981,296.9561,85.00696,266.9887,180.0001,4.41,14.96703,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/149.6703,;
Scene,Geometry/Cuboid,18,0,1,1,1,0,Cuboid,157.6565,339.4618,297.4027,85.00696,266.9887,180.0001,4.41,14.96703,0,Physical,Entities,Default,OldBombExplodeMat|178/178/255/127|0.04/149.6703,;
