/// Options
EditorVersion:1.0|Description:|HasWeather:0
/// CustomAssets

/// Objects
Scene,Geometry/Cuboid,1,0,1,1,1,0,Unnamed,-7.76,-32.03,5.333,0,0,0,134.286,6.407,134.286,Physical,Entities,Default,Basic|172/174/166/255|Nature/Grass1|50/50|0/0,;
Scene,General/EditorDaylight,2,0,1,1,0,0,Daylight,0,0,0,50.3,121.9,1.399998,1,1,1,None,Entities,Default,DefaultNoTint|255/255/255/255,Daylight|;
Scene,Geometry/Tube,3,0,1,1,1,0,Tube,461.6207,2257.922,1461.824,310.3849,242.1734,306.6378,5,2.8956,5,Physical,Entities,Default,OldBombExplodeMat|51/255/178/127|99999/99999,;
Scene,Geometry/Tube,4,0,1,1,1,0,Tube,454.769,2227.426,1373.273,305.5661,254.8239,296.6414,5,2.8956,5,Physical,Entities,Default,OldBombExplodeMat|51/255/178/127|99999/99999,;
Scene,Geometry/Tube,5,0,1,1,1,0,Tube,458.5316,2238.201,1409.094,307.3303,249.435,300.9782,5,2.8956,5,Physical,Entities,Default,OldBombExplodeMat|51/255/178/127|99999/99999,;
Scene,Geometry/Tube,6,0,1,1,1,0,Tube,460.9334,2250.883,1444.405,309.3192,244.4905,304.859,5,2.8956,5,Physical,Entities,Default,OldBombExplodeMat|51/255/178/127|99999/99999,;
Scene,Geometry/Tube,7,0,1,1,1,0,Tube,459.9033,2244.307,1426.822,308.2935,246.9029,302.9782,5,2.8956,5,Physical,Entities,Default,OldBombExplodeMat|51/255/178/127|99999/99999,;
Scene,Geometry/Tube,8,0,1,1,1,0,Tube,452.3818,2222.767,1355.216,304.7811,257.6882,294.3002,5,2.8956,5,Physical,Entities,Default,OldBombExplodeMat|51/255/178/127|99999/99999,;
Scene,Geometry/Tube,9,0,1,1,1,0,Tube,461.9645,2265.419,1479.062,311.4998,239.9652,308.3062,5,2.8956,5,Physical,Entities,Default,OldBombExplodeMat|51/255/178/127|99999/99999,;
Scene,Geometry/Tube,10,0,1,1,1,0,Tube,449.6605,2218.6,1337.086,304.0638,260.66,291.8482,5,2.8956,5,Physical,Entities,Default,OldBombExplodeMat|51/255/178/127|99999/99999,;
Scene,Geometry/Tube,11,0,1,1,1,0,Tube,439.5219,2209.094,1282.444,302.379,270.1895,283.8702,5,2.8956,5,Physical,Entities,Default,OldBombExplodeMat|51/255/178/127|99999/99999,;
Scene,Geometry/Tube,12,0,1,1,1,0,Tube,443.2274,2211.76,1300.682,302.8586,266.9196,286.6242,5,2.8956,5,Physical,Entities,Default,OldBombExplodeMat|51/255/178/127|99999/99999,;
Scene,Geometry/Tube,13,0,1,1,1,0,Tube,446.6081,2214.93,1318.902,303.4217,263.7393,289.2874,5,2.8956,5,Physical,Entities,Default,OldBombExplodeMat|51/255/178/127|99999/99999,;
Scene,Geometry/Tube,14,0,1,1,1,0,Tube,456.8196,2232.572,1391.238,306.4146,252.0709,298.8687,5,2.8956,5,Physical,Entities,Default,OldBombExplodeMat|51/255/178/127|99999/99999,;
Scene,Geometry/Tube,15,0,1,1,1,0,Tube,272.2588,2151.546,761.2958,312.8356,267.1204,109.5107,5,5.944831,5,Physical,Entities,Default,OldBombExplodeMat|204/178/255/127|99999/99999,;
Scene,Geometry/Tube,16,0,1,1,1,0,Tube,260.876,2129.994,688.1445,316.1414,256.251,117.2794,5,5.944831,5,Physical,Entities,Default,OldBombExplodeMat|204/178/255/127|99999/99999,;
Scene,Geometry/Tube,17,0,1,1,1,0,Tube,257.3037,2100.716,616.9043,39.64016,66.66735,236.3265,5,5.944831,5,Physical,Entities,Default,OldBombExplodeMat|204/178/255/127|99999/99999,;
Scene,Geometry/Tube,18,0,1,1,1,0,Tube,265.6021,2141.768,724.5763,314.3594,261.5255,113.5643,5,5.944831,5,Physical,Entities,Default,OldBombExplodeMat|204/178/255/127|99999/99999,;
Scene,Geometry/Tube,19,0,1,1,1,0,Tube,258.105,2116.286,652.1911,318.151,251.301,120.6478,5,5.944831,5,Physical,Entities,Default,OldBombExplodeMat|204/178/255/127|99999/99999,;
Scene,Geometry/Tube,20,0,1,1,1,0,Tube,280.8109,2159.277,798.1105,311.5991,273.0126,105.1448,5,5.944831,5,Physical,Entities,Default,OldBombExplodeMat|204/178/255/127|99999/99999,;
